,STATE,TRACTFIPS,COUNTYFIPS,STATEFIPS,TERRITORY,ACS_TOT_POP_WT,ACS_TOT_POP_US_ABOVE1,ACS_TOT_POP_ABOVE5,ACS_TOT_POP_ABOVE15,ACS_TOT_POP_ABOVE16,ACS_TOT_POP_16_19,ACS_TOT_POP_ABOVE25,ACS_TOT_CIVIL_POP_ABOVE18,ACS_TOT_CIVIL_VET_POP_ABOVE25,ACS_TOT_OWN_CHILD_BELOW17,ACS_TOT_CIVILIAN_LABOR,ACS_TOT_CIVIL_EMPLOY_POP,ACS_TOT_WORKER_HH,ACS_TOT_WORKER_NWFH,ACS_TOT_CIVIL_NONINST_POP_POV,ACS_TOT_CIVIL_POP_POV,ACS_TOT_POP_POV,ACS_TOT_GRANDCHILDREN_GP,ACS_TOT_HU,ACS_TOT_HH,ACS_AVG_HH_SIZE,ACS_TOT_CIVIL_NONINST_POP,ACS_TOT_CIVIL_VET_POP,ACS_PCT_CHILD_DISAB,ACS_PCT_DISABLE,ACS_PCT_NONVET_DISABLE_18_64,ACS_PCT_VET_DISABLE_18_64,ACS_PCT_FEMALE,ACS_PCT_MALE,ACS_PCT_CTZ_ABOVE18,ACS_PCT_CTZ_NATURALIZED,ACS_PCT_CTZ_NONUS_BORN,ACS_PCT_CTZ_US_BORN,ACS_PCT_FOREIGN_BORN,ACS_PCT_NON_CITIZEN,ACS_PCT_NONCTN_1990,ACS_PCT_NONCTN_1999,ACS_PCT_NONCTN_2000,ACS_PCT_NONCTN_2010,ACS_PCT_API_LANG,ACS_PCT_ENGL_NOT_ALL,ACS_PCT_ENGL_NOT_WELL,ACS_PCT_ENGL_VERY_WELL,ACS_PCT_ENGL_WELL,ACS_PCT_ENGLISH,ACS_PCT_HH_LIMIT_ENGLISH,ACS_PCT_OTH_EURP,ACS_PCT_OTH_LANG,ACS_PCT_SPANISH,ACS_PCT_GULFWAR_1990_2001,ACS_PCT_GULFWAR_2001,ACS_PCT_GULFWAR_VIETNAM,ACS_PCT_VET,ACS_PCT_VIETNAM,ACS_MEDIAN_AGE,ACS_MEDIAN_AGE_FEMALE,ACS_MEDIAN_AGE_MALE,ACS_PCT_AGE_0_4,ACS_PCT_AGE_5_9,ACS_PCT_AGE_10_14,ACS_PCT_AGE_15_17,ACS_PCT_AGE_0_17,ACS_PCT_AGE_18_29,ACS_PCT_AGE_18_44,ACS_PCT_AGE_30_44,ACS_PCT_AGE_45_64,ACS_PCT_AGE_50_64,ACS_PCT_AGE_ABOVE65,ACS_PCT_AGE_ABOVE80,ACS_PCT_AIAN,ACS_PCT_AIAN_FEMALE,ACS_PCT_AIAN_MALE,ACS_PCT_AIAN_NONHISP,ACS_PCT_ASIAN,ACS_PCT_ASIAN_FEMALE,ACS_PCT_ASIAN_MALE,ACS_PCT_ASIAN_NONHISP,ACS_PCT_BLACK,ACS_PCT_BLACK_FEMALE,ACS_PCT_BLACK_MALE,ACS_PCT_BLACK_NONHISP,ACS_PCT_HISP_FEMALE,ACS_PCT_HISP_MALE,ACS_PCT_HISPANIC,ACS_PCT_MULT_RACE,ACS_PCT_MULT_RACE_FEMALE,ACS_PCT_MULT_RACE_MALE,ACS_PCT_MULT_RACE_NONHISP,ACS_PCT_NHPI,ACS_PCT_NHPI_FEMALE,ACS_PCT_NHPI_MALE,ACS_PCT_NHPI_NONHISP,ACS_PCT_OTHER_FEMALE,ACS_PCT_OTHER_MALE,ACS_PCT_OTHER_NONHISP,ACS_PCT_OTHER_RACE,ACS_PCT_WHITE,ACS_PCT_WHITE_FEMALE,ACS_PCT_WHITE_MALE,ACS_PCT_WHITE_NONHISP,ACS_PCT_HOUSEHOLDER_WHITE,ACS_PCT_HOUSEHOLDER_BLACK,ACS_PCT_HOUSEHOLDER_AIAN,ACS_PCT_HOUSEHOLDER_ASIAN,ACS_PCT_HOUSEHOLDER_NHPI,ACS_PCT_HOUSEHOLDER_OTHER,ACS_PCT_HOUSEHOLDER_MULT,ACS_PCT_AIAN_COMB,ACS_PCT_ASIAN_COMB,ACS_PCT_BLACK_COMB,ACS_PCT_NHPI_COMB,ACS_PCT_WHITE_COMB,ACS_PCT_HH_NO_COMP_DEV,ACS_PCT_HH_SMARTPHONE,ACS_PCT_HH_SMARTPHONE_ONLY,ACS_PCT_HH_TABLET,ACS_PCT_HH_TABLET_ONLY,ACS_PCT_HH_PC,ACS_PCT_HH_PC_ONLY,ACS_PCT_HH_OTHER_COMP,ACS_PCT_HH_OTHER_COMP_ONLY,ACS_PCT_HH_INTERNET,ACS_PCT_HH_INTERNET_NO_SUBS,ACS_PCT_HH_BROADBAND,ACS_PCT_HH_BROADBAND_ONLY,ACS_PCT_HH_BROADBAND_ANY,ACS_PCT_HH_CELLULAR,ACS_PCT_HH_CELLULAR_ONLY,ACS_PCT_HH_NO_INTERNET,ACS_PCT_HH_SAT_INTERNET,ACS_PCT_HH_DIAL_INTERNET_ONLY,ACS_PCT_CHILD_1FAM,ACS_PCT_CHILDREN_GRANDPARENT,ACS_PCT_GRANDP_RESPS_NO_P,ACS_PCT_GRANDP_RESPS_P,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_HH_KID_1PRNT,ACS_PCT_DIVORCED_F,ACS_PCT_DIVORCED_M,ACS_PCT_MARRIED_SP_AB_F,ACS_PCT_MARRIED_SP_AB_M,ACS_PCT_MARRIED_SP_PR_F,ACS_PCT_MARRIED_SP_PR_M,ACS_PCT_NVR_MARRIED_F,ACS_PCT_NVR_MARRIED_M,ACS_PCT_WIDOWED_F,ACS_PCT_WIDOWED_M,ACS_PCT_POP_SAME_SEX_UNMRD_P,ACS_PCT_POP_SAME_SEX_SPOUSE,ACS_PCT_ADMIN,ACS_PCT_ARMED_FORCES,ACS_PCT_ART,ACS_PCT_CONSTRUCT,ACS_PCT_EDUC,ACS_PCT_EMPLOYED,ACS_PCT_FINANCE,ACS_PCT_GOVT,ACS_PCT_INFORM,ACS_PCT_MANUFACT,ACS_PCT_NATURE,ACS_PCT_NOT_LABOR,ACS_PCT_OTHER,ACS_PCT_PROFESS,ACS_PCT_PVT_NONPROFIT,ACS_PCT_PVT_PROFIT,ACS_PCT_RETAIL,ACS_PCT_TRANSPORT,ACS_PCT_UNEMPLOY,ACS_PCT_VET_LABOR_FORCE_18_64,ACS_PCT_VET_UNEMPL_18_64,ACS_PCT_WHOLESALE,ACS_PCT_WORK_RES_F,ACS_PCT_WORK_RES_M,ACS_GINI_INDEX,ACS_MDN_GRNDPRNT_NO_PRNT_INC,ACS_MDN_GRNDPRNT_INC,ACS_MEDIAN_HH_INC_AIAN,ACS_MEDIAN_HH_INC_ASIAN,ACS_MEDIAN_HH_INC_BLACK,ACS_MEDIAN_HH_INC_HISP,ACS_MEDIAN_HH_INC_MULTI,ACS_MEDIAN_HH_INC_NHPI,ACS_MEDIAN_HH_INC_OTHER,ACS_MEDIAN_HH_INC_WHITE,ACS_MEDIAN_HH_INC,ACS_MEDIAN_INC_F,ACS_MEDIAN_INC_M,ACS_MEDIAN_NONVET_INC,ACS_MEDIAN_VET_INC,ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_INC_10000,ACS_PCT_HH_INC_100000,ACS_PCT_HH_INC_14999,ACS_PCT_HH_INC_24999,ACS_PCT_HH_INC_49999,ACS_PCT_HH_INC_99999,ACS_PCT_INC50,ACS_PCT_NONVET_POV_18_64,ACS_PCT_VET_POV_18_64,ACS_PCT_PERSON_INC_100_124,ACS_PCT_PERSON_INC_125_199,ACS_PCT_PERSON_INC_ABOVE200,ACS_PCT_PERSON_INC_BELOW99,ACS_PER_CAPITA_INC,ACS_PCT_POV_AIAN,ACS_PCT_POV_ASIAN,ACS_PCT_POV_BLACK,ACS_PCT_POV_HISPANIC,ACS_PCT_POV_MULTI,ACS_PCT_POV_NHPI,ACS_PCT_POV_OTHER,ACS_PCT_POV_WHITE,ACS_PCT_HH_1FAM_FOOD_STMP,ACS_PCT_HH_FOOD_STMP,ACS_PCT_HH_FOOD_STMP_BLW_POV,ACS_PCT_HH_NO_FD_STMP_BLW_POV,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,ACS_PCT_VET_BACHELOR,ACS_PCT_VET_COLLEGE,ACS_PCT_VET_HS,ACS_MEDIAN_HOME_VALUE,ACS_MEDIAN_RENT,ACS_MDN_OWNER_COST_MORTGAGE,ACS_MDN_OWNER_COST_NO_MORTG,ACS_MEDIAN_YEAR_BUILT,ACS_PCT_10UNITS,ACS_PCT_1UP_OWNER_1ROOM,ACS_PCT_1UP_PERS_1ROOM,ACS_PCT_1UP_RENT_1ROOM,ACS_PCT_HU_BUILT_1979,ACS_PCT_DIF_STATE,ACS_PCT_GRP_QRT,ACS_PCT_HH_1PERS,ACS_PCT_HH_ABOVE65,ACS_PCT_HH_ALONE_ABOVE65,ACS_PCT_HU_NO_FUEL,ACS_PCT_HU_UTILITY_GAS,ACS_PCT_HU_BOT_TANK_LP_GAS,ACS_PCT_HU_OIL,ACS_PCT_HU_WOOD,ACS_PCT_HU_COAL,ACS_PCT_HU_OTHER,ACS_PCT_HU_ELEC,ACS_PCT_HU_SOLAR,ACS_PCT_IN_COUNTY_MOVE,ACS_PCT_IN_STATE_MOVE,ACS_PCT_HU_KITCHEN,ACS_PCT_HU_MOBILE_HOME,ACS_PCT_OWNER_HU,ACS_PCT_OWNER_HU_COST_30PCT,ACS_PCT_OWNER_HU_COST_50PCT,ACS_PCT_OWNER_HU_CHILD,ACS_PCT_HU_PLUMBING,ACS_PCT_RENTER_HU_COST_30PCT,ACS_PCT_RENTER_HU_COST_50PCT,ACS_PCT_RENTER_HU,ACS_PCT_RENTER_HU_ABOVE65,ACS_PCT_RENTER_HU_CHILD,ACS_PCT_VACANT_HU,ACS_PCT_COMMT_15MIN,ACS_PCT_COMMT_29MIN,ACS_PCT_COMMT_59MIN,ACS_PCT_COMMT_60MINUP,ACS_PCT_DRIVE_2WORK,ACS_PCT_HU_NO_VEH,ACS_PCT_PUB_COMMT_15MIN,ACS_PCT_PUB_COMMT_29MIN,ACS_PCT_PUB_COMMT_59MIN,ACS_PCT_PUB_COMMT_60MINUP,ACS_PCT_PUBL_TRANSIT,ACS_PCT_TAXICAB_2WORK,ACS_PCT_WALK_2WORK,ACS_PCT_WORK_NO_CAR,ACS_PCT_MEDICAID_ANY,ACS_PCT_MEDICAID_ANY_BELOW64,ACS_PCT_MEDICARE_ONLY,ACS_PCT_OTHER_INS,ACS_PCT_PVT_EMPL_DRCT,ACS_PCT_PVT_EMPL_DRCT_BELOW64,ACS_PCT_PRIVATE_ANY,ACS_PCT_PRIVATE_ANY_BELOW64,ACS_PCT_PRIVATE_EMPL,ACS_PCT_PRIVATE_EMPL_BELOW64,ACS_PCT_PRIVATE_MDCR,ACS_PCT_PRIVATE_MDCR_35_64,ACS_PCT_PRIVATE_OTHER,ACS_PCT_PRIVATE_OTHER_BELOW64,ACS_PCT_PRIVATE_SELF,ACS_PCT_PRIVATE_SELF_BELOW64,ACS_PCT_PUBLIC_ONLY,ACS_PCT_PUBLIC_OTHER,ACS_PCT_PUBLIC_OTHER_BELOW64,ACS_PCT_SELF_MDCR_ABOVE35,ACS_PCT_TRICARE_VA,ACS_PCT_TRICARE_VA_BELOW64,ACS_PCT_UNINSURED,ACS_PCT_UNINSURED_BELOW64,CEN_AREALAND_SQM_TRACT,CEN_POPDENSITY_TRACT,WUSTL_AVG_PM25,HIFLD_DIST_UC_TRACT,POS_DIST_ED_TRACT,POS_DIST_MEDSURG_ICU_TRACT,POS_DIST_TRAUMA_TRACT,POS_DIST_PED_ICU_TRACT,POS_DIST_OBSTETRICS_TRACT,POS_DIST_CLINIC_TRACT,POS_DIST_ALC_TRACT,CEN_AIAN_NH_IND,COUNTY
21,Maine,23015052037,23014,23,0,3294,3263,3137,2790,2753,155,2413,2672,247,551,1730,1660,1606,1495,3199,2601,3204,36,1834,1399,2,3255,249,6,16,13,22,50,49,80,2,3,95,4,1,0,0,0,0,0,0,0,4,1,93,0,3,0,0,18,15,15,9,38,45,46,44,4,5,5,3,18,13,30,17,29,22,21,5,0,46,53,0,1,64,35,1,1,35,64,1,48,51,1,2,51,48,2,0,60,39,0,47,52,0,0,93,51,48,92,95,0,0,0,0,0,2,2,1,2,0,96,9,76,5,60,1,78,8,1,0,84,3,71,13,83,68,8,12,4,0,29,5,19,21,59,13,16,14,2,2,48,50,24,30,9,3,0,0,4,0,8,7,27,95,5,13,1,8,2,38,4,8,13,63,12,4,4,73,2,1,20,18,0,53150,58439,24600,112504,60860,64387,62253,0,60828,61014,60327,25393,37623,30419,40779,2,6,18,11,32,37,5,24,5,10,22,31,4,12,7,4,13,69,11,33077,26,15,25,17,20,25,18,11,28,13,6,6,14,29,19,2,11,31,7,60,26,33,39,207550,898,1409,531,1778,5,0,1,2,56,2,2,29,34,13,0,7,11,60,10,0,1,7,0,7,2,3,8,72,21,8,23,3,43,18,27,23,26,21,33,33,25,7,93,6,8,26,33,31,0,1,4,2,15,16,6,7,1,1,60,65,43,54,3,0,0,0,6,8,23,0,0,4,1,1,7,9,75,1087,4,20,6,8,29,33,7,5,12,0,Alcorn County
22,Maryland,24088231761,24087,24,0,4093,4048,3846,3338,3285,205,2823,3162,239,792,2199,2085,2050,1898,3979,3085,3996,73,1667,1512,2,4025,242,4,11,9,14,51,48,72,7,8,84,15,6,0,0,2,3,3,0,2,11,3,82,3,4,2,7,24,24,16,7,31,40,41,38,5,5,6,3,21,15,35,19,27,20,15,3,0,49,50,0,5,54,45,5,30,51,48,30,49,50,9,4,51,48,3,0,55,44,0,49,50,0,4,54,50,49,50,58,30,0,5,0,3,2,1,7,32,0,58,6,85,6,66,0,82,4,3,0,88,2,75,7,87,79,10,9,4,0,31,8,13,27,58,19,13,10,4,5,41,45,33,38,8,2,0,0,10,0,8,7,24,94,6,21,1,4,0,32,5,15,10,63,9,5,5,81,4,1,23,20,0,84417,91492,89575,128844,84814,100326,120915,0,80798,101233,92768,37209,53443,43806,66266,3,6,14,8,25,52,4,42,2,5,15,28,4,9,6,2,9,77,10,42958,13,9,13,11,10,9,13,8,22,10,4,5,11,25,21,2,18,24,9,65,38,30,30,332995,1511,2038,655,1827,15,1,2,3,56,2,2,27,29,10,0,44,3,8,1,0,0,40,0,7,2,2,1,66,23,9,29,1,47,23,33,17,34,8,17,31,35,15,86,9,3,9,31,55,8,1,2,5,16,17,4,6,1,1,65,69,50,59,4,0,0,0,5,6,22,0,0,2,1,1,5,6,6,4932,6,3,3,4,10,14,4,3,6,0,Aleutians East Borough
23,Massachusetts,25017436432,25017,25,0,4242,4201,4021,3554,3504,231,2972,3398,177,754,2351,2231,2146,2007,4093,3266,4097,53,1798,1633,2,4197,179,4,12,9,17,51,48,73,9,10,81,18,8,0,0,1,4,4,1,3,15,4,75,6,9,1,9,13,17,14,5,34,40,41,39,5,5,5,3,19,18,37,19,26,20,16,4,0,49,50,0,6,54,45,6,7,47,52,6,51,48,12,4,51,48,2,0,58,41,0,48,51,0,4,75,51,48,69,79,6,0,5,0,3,3,0,7,9,0,80,7,83,5,64,1,81,5,2,0,88,2,78,9,87,78,8,9,2,0,29,6,13,23,62,16,12,9,4,4,41,45,35,40,8,2,0,0,3,0,8,5,28,94,7,11,2,8,0,32,4,14,13,68,10,4,5,77,5,2,29,26,0,49625,91416,81095,132629,75208,79441,95704,0,60692,95242,90537,34607,53239,43348,53124,3,5,15,7,23,53,5,42,4,6,15,25,5,10,8,3,9,76,11,45593,23,12,19,17,13,16,20,9,22,12,5,5,13,22,24,1,20,23,9,67,35,29,35,456289,1432,2329,858,1416,16,1,2,3,70,2,3,28,30,11,0,52,3,24,1,0,0,16,0,6,2,1,0,60,28,11,28,0,47,23,39,21,25,8,23,31,32,12,80,13,3,13,34,48,10,2,6,7,19,20,4,6,1,2,66,70,51,61,3,0,0,0,6,7,24,0,0,3,0,0,2,3,4,7922,6,5,2,2,9,17,3,3,4,0,Aleutians West Census Area
24,Michigan,26107414116,26107,26,0,3305,3270,3117,2717,2675,173,2271,2587,174,638,1642,1544,1498,1421,3231,2528,3232,48,1528,1319,2,3270,176,4,14,12,20,50,49,76,3,4,92,7,3,0,0,0,1,1,0,1,6,1,90,1,2,1,2,16,13,16,6,37,41,42,39,5,5,6,3,21,16,34,17,26,20,17,4,0,50,49,0,2,55,44,2,16,46,53,16,49,50,5,3,50,49,2,0,55,44,0,49,50,0,1,75,49,50,72,77,15,0,2,0,1,2,1,3,18,0,78,9,80,9,58,1,74,5,2,0,83,2,65,9,83,72,12,13,6,0,33,7,16,27,56,17,14,12,3,3,44,45,30,37,9,2,0,0,3,0,9,5,23,93,5,10,1,18,1,39,4,9,9,74,10,4,6,72,5,2,20,17,0,54440,70048,54746,108812,51579,70334,71237,0,58040,65783,62669,25251,40229,31874,42796,2,8,21,11,31,35,7,25,4,9,23,30,7,14,10,4,13,67,15,32018,19,13,25,17,18,21,18,14,27,14,7,7,14,32,17,2,11,29,9,61,23,39,37,165338,947,1311,517,1829,8,1,1,2,65,1,2,30,30,12,0,75,8,1,2,0,0,9,0,8,3,4,4,71,20,8,26,3,46,23,28,17,31,13,28,38,26,6,93,8,11,24,34,29,1,1,2,3,19,22,4,6,1,1,62,64,46,56,5,0,0,0,5,6,25,0,0,3,0,0,5,6,18,2541,7,5,4,5,12,20,5,4,10,0,Alexander County
25,Minnesota,27080029467,27079,27,0,3721,3678,3487,3002,2953,189,2526,2855,191,795,2043,1965,1908,1763,3636,2789,3639,35,1633,1467,2,3682,193,4,11,8,16,50,49,74,4,5,91,8,3,0,0,0,1,3,0,1,7,2,88,2,1,2,3,14,15,13,7,38,40,41,39,6,6,6,3,22,15,34,19,26,20,16,4,1,50,49,1,4,57,42,4,6,41,58,6,48,51,5,3,49,50,3,0,42,57,0,45,54,0,2,82,50,49,79,86,5,0,3,0,1,2,2,5,7,0,85,7,82,6,63,1,80,5,2,0,86,2,71,8,86,76,10,10,7,0,27,4,18,24,57,13,12,10,2,2,49,50,28,34,7,2,0,0,3,0,8,6,25,96,6,12,1,13,2,31,4,9,11,70,10,4,3,79,4,2,31,27,0,65229,85847,51407,101101,54643,73143,78888,55000,65685,79198,76665,31518,47025,39180,46851,2,5,15,9,29,46,4,34,3,7,19,31,4,9,7,3,10,75,9,38373,25,11,24,14,13,16,16,7,18,7,3,6,8,32,23,1,12,24,6,68,28,36,35,240277,1045,1601,572,1808,15,1,2,4,56,1,2,28,28,11,0,63,12,1,2,0,1,17,0,6,4,1,3,72,18,7,29,1,42,20,27,20,28,9,31,37,25,5,91,6,11,20,45,22,3,1,3,2,15,17,4,6,1,1,68,72,52,62,2,0,0,0,5,7,20,0,0,6,0,0,4,5,52,2691,6,12,5,6,7,20,5,9,11,0,Alexandria city
26,Mississippi,28076163677,28075,28,0,3396,3356,3185,2729,2684,192,2258,2575,184,659,1524,1415,1390,1359,3272,2482,3283,107,1515,1271,2,3316,187,5,17,15,22,51,48,75,0,1,97,2,1,0,0,0,0,0,0,0,2,0,96,0,0,0,2,22,20,15,7,35,38,40,37,6,6,6,3,23,16,34,18,25,19,16,3,0,47,52,0,0,58,41,0,38,51,48,38,48,51,3,1,53,46,1,0,58,41,0,42,57,0,1,56,50,49,55,59,37,0,0,0,0,1,0,1,39,0,58,14,79,15,50,1,63,3,2,0,75,3,48,5,74,66,19,21,10,0,40,13,25,34,40,21,15,13,5,4,40,44,31,36,10,3,0,0,5,0,9,6,25,92,4,18,1,13,2,42,4,6,5,69,11,6,7,71,6,2,26,24,0,42389,58397,30989,95561,39398,56084,50329,0,47891,58588,48349,21382,32434,25430,40946,4,13,29,13,30,26,9,17,7,12,24,28,9,19,11,6,16,56,20,25191,21,14,28,24,23,26,22,14,32,15,8,11,15,32,13,2,8,30,15,54,22,39,37,124441,795,1129,372,1978,4,1,2,4,45,2,2,29,30,11,0,29,11,0,1,0,0,57,0,6,3,5,14,67,19,8,27,5,46,23,32,14,38,16,30,36,25,7,96,6,11,23,30,33,0,1,1,2,21,22,6,6,1,1,51,54,38,45,2,0,0,0,5,6,29,0,0,3,1,2,12,14,53,746,7,13,5,8,9,29,8,3,15,0,Alfalfa County
27,Missouri,29142055127,29141,29,0,3702,3659,3478,3011,2964,192,2525,2857,233,732,1857,1773,1733,1637,3586,2771,3592,62,1695,1475,2,3634,236,4,15,12,20,51,48,76,1,2,95,4,2,0,0,0,1,1,0,0,4,1,93,1,1,0,2,18,16,15,8,38,39,41,38,5,5,6,3,22,16,34,18,25,20,17,4,0,50,49,0,1,57,42,1,12,46,53,12,49,50,4,3,50,49,2,0,55,44,0,49,50,0,1,79,50,49,77,82,12,0,1,0,0,2,1,2,14,0,83,9,80,10,57,1,73,5,2,0,82,3,62,7,82,72,13,14,8,0,32,8,24,29,45,16,15,13,3,3,45,47,27,33,9,3,0,0,4,0,8,6,24,95,6,12,1,11,2,37,4,9,10,71,11,5,4,74,3,2,32,29,0,52108,68122,57150,94688,50726,70372,68331,69577,52778,62899,59560,26023,38746,31409,41271,3,8,21,12,32,34,6,23,4,10,24,31,6,13,8,4,14,66,14,31113,22,14,25,17,19,23,18,12,25,11,5,7,11,30,17,2,10,31,10,58,24,36,38,164562,863,1268,475,1828,8,1,1,3,55,2,2,30,30,11,0,48,9,0,3,0,0,37,0,7,3,4,6,66,18,6,27,3,41,19,33,17,32,13,29,38,26,5,94,7,10,22,37,28,1,1,2,3,13,14,6,5,1,1,62,67,47,56,2,0,0,0,6,8,21,0,0,4,1,1,9,11,41,1959,7,12,5,6,15,21,6,3,14,0,Alger County
28,Montana,30054731075,30054,30,0,3328,3292,3135,2731,2693,163,2303,2602,264,629,1700,1630,1582,1476,3241,2542,3249,53,1614,1366,2,3281,267,4,14,10,20,49,50,78,1,2,96,3,0,0,0,0,0,0,0,0,3,0,95,0,1,1,1,19,19,12,10,38,42,43,41,5,5,6,3,21,15,33,17,26,20,19,4,6,48,51,6,0,65,34,0,0,33,66,0,50,49,3,3,49,50,3,0,45,54,0,46,53,0,0,87,49,50,85,89,0,5,0,0,0,2,8,1,1,0,91,10,76,6,57,1,77,7,1,0,82,2,63,11,81,68,10,14,9,0,24,6,27,29,42,11,14,13,3,3,51,50,23,31,8,3,0,0,6,0,11,7,22,95,5,17,1,4,8,37,4,8,9,63,12,5,4,75,4,2,45,39,0,46518,62277,46986,76660,50940,58885,66862,0,63593,58630,57418,23635,37232,29532,39624,2,6,20,12,32,34,5,22,5,9,24,32,5,13,11,4,14,67,13,31862,27,15,22,17,15,17,20,11,22,9,4,8,10,33,21,2,10,28,6,65,28,37,33,246489,833,1419,454,1909,5,1,2,3,53,3,3,30,33,12,0,47,16,1,8,0,1,24,0,7,3,3,10,69,21,8,25,3,40,18,30,18,28,16,47,32,14,4,90,4,20,34,25,19,0,2,6,2,17,20,6,7,1,1,56,60,38,47,2,0,0,0,8,11,27,1,0,5,2,2,8,10,456,1085,6,24,7,11,15,44,10,5,26,0,Allamakee County
29,Nebraska,31088421262,31088,31,0,3478,3435,3242,2760,2713,190,2277,2609,202,782,1871,1807,1766,1678,3370,2528,3380,41,1526,1386,2,3425,205,3,12,9,18,49,50,72,2,3,92,7,4,0,0,1,1,1,0,1,6,2,88,2,1,0,7,20,19,13,8,35,38,39,37,6,6,6,4,24,16,34,18,24,18,16,4,0,47,52,0,2,57,42,2,5,39,60,4,48,51,10,3,49,50,2,0,60,39,0,44,55,0,2,85,50,49,78,88,4,0,1,0,1,2,1,3,6,0,89,8,81,7,62,1,77,5,2,0,85,2,68,8,84,74,11,11,7,0,26,4,21,24,54,13,12,10,3,3,50,51,26,32,8,2,0,0,4,0,7,7,24,96,7,14,1,10,5,31,4,8,9,68,10,5,3,81,2,2,55,49,0,64501,67836,46398,99525,55049,59861,68728,0,59810,67553,65984,27445,42767,34506,45584,3,5,17,11,33,37,5,26,3,8,22,33,4,10,7,4,13,71,11,32926,21,10,20,15,15,22,16,9,21,8,3,7,8,33,20,1,10,26,8,64,26,36,36,164253,872,1379,573,1799,11,1,1,3,61,2,3,29,28,11,0,57,9,0,1,0,0,30,0,8,3,3,3,66,17,6,30,2,38,17,33,17,30,9,42,37,16,3,94,5,22,28,35,14,0,1,3,2,10,11,5,5,2,2,67,72,49,59,1,0,0,0,8,9,18,0,0,4,1,1,8,9,138,2223,6,13,4,5,8,24,5,4,13,0,Allegan County
30,Nevada,32019085365,32018,32,0,3889,3848,3653,3154,3105,183,2687,2995,260,762,1957,1829,1796,1696,3824,2957,3835,67,1628,1450,2,3842,264,4,13,10,18,49,50,69,9,10,79,20,9,1,2,2,2,5,1,3,18,5,70,5,2,1,20,22,20,15,9,36,40,40,39,5,5,6,3,21,15,35,19,25,19,17,3,1,47,52,1,7,57,42,7,8,47,52,8,49,50,27,7,48,51,3,0,48,51,0,48,51,0,10,63,48,51,50,68,9,1,7,0,8,5,2,9,10,1,69,6,85,8,61,0,79,4,3,0,85,2,70,8,85,75,10,11,7,0,35,8,18,32,49,19,17,14,5,5,41,42,29,36,8,2,0,0,4,0,22,7,15,93,5,12,1,4,1,37,4,11,3,78,11,6,6,73,5,2,38,34,0,67690,84142,58158,81629,55303,68135,76965,83135,59813,69257,66296,27957,40747,33395,48116,3,7,20,12,32,34,5,27,3,8,22,31,6,12,9,4,14,67,13,33311,19,10,20,14,13,17,15,11,22,11,4,7,12,33,16,3,8,28,13,58,26,43,29,293372,1267,1568,462,1976,13,2,4,5,25,4,1,28,30,10,0,56,3,0,1,0,0,36,0,11,0,1,5,57,24,10,27,1,47,22,42,16,34,10,24,41,27,5,91,7,4,12,32,50,3,2,2,3,15,17,7,5,1,1,57,62,44,53,2,0,0,0,5,6,25,0,0,2,1,1,11,13,141,5485,8,4,3,5,12,10,5,4,11,0,Allegany County
31,New Hampshire,33011606824,33011,33,0,3872,3839,3690,3273,3228,199,2774,3129,264,656,2167,2086,2019,1875,3745,3024,3750,49,1824,1540,2,3823,266,4,13,10,15,50,49,79,3,4,93,6,2,0,0,0,1,1,0,0,5,1,92,1,3,0,2,18,14,16,8,37,43,44,42,4,5,5,3,18,15,32,17,29,23,18,4,0,48,51,0,2,57,42,2,1,40,59,1,46,53,3,2,48,51,2,0,58,41,0,46,53,0,0,92,50,49,89,94,1,0,1,0,0,1,0,3,2,0,94,6,81,4,65,1,84,6,2,0,88,2,79,12,88,74,6,8,3,0,26,6,15,23,60,12,14,12,2,2,49,51,25,32,8,2,0,0,4,0,9,7,24,96,6,13,1,12,0,33,4,11,11,67,12,3,3,83,3,2,20,17,0,66477,108084,0,111765,76752,82874,92155,0,70657,81510,81017,30691,47635,38345,50518,2,4,12,8,28,51,3,37,3,6,17,31,3,7,4,2,9,79,7,41217,10,8,19,14,10,13,15,7,16,6,2,5,7,28,22,1,14,27,6,65,32,33,34,274380,1213,1933,832,1839,9,0,1,2,53,3,2,26,32,11,0,19,17,43,7,0,1,9,0,6,2,1,5,72,25,9,26,1,45,20,27,20,26,14,28,33,27,9,94,4,7,16,26,49,0,1,3,1,11,13,5,5,1,1,69,73,53,64,4,0,0,0,5,7,18,0,0,4,0,1,6,7,25,1431,5,13,5,5,11,23,5,5,8,0,Alleghany County
