,STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN
2383,Texas,52606,McGregor,48,0,"5,139","1,981","6,001,304",2.32,0,0.0,"2,217.84"
2384,Texas,52695,McKinney--Frisco,48,0,"504,803","181,086","392,749,186",151.64,"3,806,139",1.47,"3,328.93"
2385,Texas,54050,Manor,48,0,"17,006","5,733","13,793,390",5.33,0,0.0,"3,193.22"
2386,Texas,54334,Marble Falls,48,0,"7,953","3,692","14,286,889",5.52,"522,664",0.2,"1,441.75"
2387,Texas,54820,Marlin,48,0,"5,396","2,430","10,625,487",4.1,"114,571",0.04,"1,315.29"
2388,Texas,55036,Marshall,48,0,"21,387","8,991","41,867,103",16.16,"54,941",0.02,"1,323.05"
2389,Texas,55495,Mathis,48,0,"5,253","2,306","8,399,920",3.24,0,0.0,"1,619.68"
2390,Texas,56074,Melissa--Anna,48,0,"34,516","11,551","43,891,925",16.95,"188,106",0.07,"2,036.73"
2391,Texas,56521,Mexia,48,0,"6,661","2,695","11,631,870",4.49,"83,451",0.03,"1,483.16"
2392,Texas,57007,Midland,48,0,"141,997","59,089","176,864,141",68.29,"145,403",0.06,"2,079.40"
2393,Texas,57034,Midlothian,48,0,"30,908","10,511","64,025,479",24.72,"530,345",0.2,"1,250.30"
2394,Texas,57547,Mineola,48,0,"5,699","2,495","14,647,065",5.66,"153,653",0.06,"1,007.73"
2395,Texas,57574,Mineral Wells,48,0,"14,211","5,987","22,936,185",8.86,"67,060",0.03,"1,604.73"
2396,Texas,58087,Monahans,48,0,"9,162","4,019","18,911,937",7.3,"31,467",0.01,"1,254.74"
2397,Texas,58429,Mont Belvieu,48,0,"12,180","4,061","27,955,192",10.79,"157,513",0.06,"1,128.45"
2398,Texas,60166,Mount Pleasant,48,0,"15,419","5,636","32,981,554",12.73,"840,959",0.32,"1,210.83"
2399,Texas,60571,Muleshoe,48,0,"5,159","1,944","6,955,733",2.69,0,0.0,"1,920.97"
2400,Texas,60949,Nacogdoches,48,0,"33,732","14,961","64,761,902",25,"197,886",0.08,"1,349.03"
2401,Texas,61381,Navasota,48,0,"7,458","3,021","18,281,173",7.06,"104,492",0.04,"1,056.61"
2402,Texas,61921,New Boston,48,0,"4,502","2,138","9,654,465",3.73,"6,794",0.0,"1,207.74"
2403,Texas,61948,New Braunfels,48,0,"100,736","41,658","130,603,555",50.43,"2,143,743",0.83,"1,997.69"
2404,Texas,64864,Odessa,48,0,"154,818","63,127","222,727,634",86,"1,247,556",0.48,"1,800.30"
2405,Texas,65647,Orange,48,0,"40,796","18,518","95,108,876",36.72,"4,947,934",1.91,"1,110.95"
2406,Texas,67078,Palestine,48,0,"18,615","7,789","39,343,056",15.19,"185,637",0.07,"1,225.44"
2407,Texas,67240,Pampa,48,0,"16,865","8,413","21,374,659",8.25,0,0.0,"2,043.55"
2408,Texas,67564,Paris,48,0,"26,292","12,343","45,395,056",17.53,"161,369",0.06,"1,500.07"
2409,Texas,68212,Pearsall,48,0,"9,063","3,016","14,015,152",5.41,0,0.0,"1,674.83"
2410,Texas,68239,Pecan Plantation,48,0,"6,831","3,229","21,036,038",8.12,"46,831",0.02,841.04
2411,Texas,68266,Pecos,48,0,"13,081","4,232","19,995,661",7.72,0,0.0,"1,694.35"
2412,Texas,68752,Perryton,48,0,"8,391","3,580","10,305,237",3.98,0,0.0,"2,108.89"
2413,Texas,69513,Pinehurst (Montgomery County)--Magnolia,48,0,"9,667","3,376","22,516,479",8.69,"69,482",0.03,"1,111.96"
2414,Texas,69967,Plainview,48,0,"22,615","9,073","30,525,007",11.79,0,0.0,"1,918.84"
2415,Texas,70237,Pleasanton,48,0,"13,983","5,668","23,462,251",9.06,"13,126",0.01,"1,543.58"
2416,Texas,70993,Port Arthur,48,0,"116,819","47,850","172,141,854",66.46,"7,867,704",3.04,"1,757.62"
